tic,date,gvkeyx,Closing Price,Daily High,Daily Low
I0003,25-10-21,3,4566.48,4572.62,4537.36
I0003,22-10-21,3,4544.9,4559.67,4524
I0003,21-10-21,3,4549.78,4551.44,4526.89
I0003,20-10-21,3,4536.19,4540.87,4524.4
I0003,19-10-21,3,4519.63,4520.4,4496.41
I0003,18-10-21,3,4486.46,4488.75,4447.47
I0003,15-10-21,3,4471.37,4475.82,4447.69
I0003,14-10-21,3,4438.26,4439.73,4386.75
I0003,13-10-21,3,4363.8,4372.87,4329.92
I0003,12-10-21,3,4350.65,4374.89,4342.09
I0003,11-10-21,3,4361.19,4415.88,4360.59
I0003,08-10-21,3,4391.34,4412.02,4386.22
I0003,07-10-21,3,4399.76,4429.97,4383.73
I0003,06-10-21,3,4363.55,4365.57,4290.49
I0003,05-10-21,3,4345.72,4369.23,4309.87
I0003,04-10-21,3,4300.46,4355.51,4278.94
I0003,01-10-21,3,4357.038875,4357.038875,4357.038875
I0003,30-09-21,3,4307.54,4382.55,4306.24
I0003,29-09-21,3,4359.461058,4359.461058,4359.461058
I0003,28-09-21,3,4352.63,4419.54,4346.33
I0003,27-09-21,3,4443.11,4457.3,4436.19
I0003,24-09-21,3,4455.48,4463.12,4430.27
I0003,23-09-21,3,4448.98,4465.4,4406.75
I0003,22-09-21,3,4395.64,4416.75,4367.43
I0003,21-09-21,3,4354.19,4394.87,4347.96
I0003,20-09-21,3,4357.73,4402.95,4305.91
I0003,17-09-21,3,4432.99,4471.52,4427.76
I0003,16-09-21,3,4473.75,4485.87,4443.8
I0003,15-09-21,3,4480.7,4486.87,4438.37
I0003,14-09-21,3,4443.05,4485.68,4435.46
I0003,13-09-21,3,4468.73,4492.99,4445.7
I0003,10-09-21,3,4458.58,4520.47,4457.66
I0003,09-09-21,3,4493.28,4529.9,4492.07
I0003,08-09-21,3,4514.07,4521.79,4493.95
I0003,07-09-21,3,4520.03,4535.38,4513
I0003,03-09-21,3,4535.43,4541.45,4521.3
I0003,02-09-21,3,4536.95,4545.85,4524.66
I0003,01-09-21,3,4524.09,4537.11,4522.02
I0003,31-08-21,3,4522.68,4531.39,4515.8
I0003,30-08-21,3,4528.79,4537.36,4513.76
I0003,27-08-21,3,4509.37,4513.33,4474.1
I0003,26-08-21,3,4470,4495.9,4468.99
I0003,25-08-21,3,4496.19,4501.71,4485.66
I0003,24-08-21,3,4486.23,4492.81,4482.28
I0003,23-08-21,3,4479.53,4489.88,4450.29
I0003,20-08-21,3,4441.67,4444.35,4406.8
I0003,19-08-21,3,4405.8,4418.61,4367.73
I0003,18-08-21,3,4400.27,4454.32,4397.59
I0003,17-08-21,3,4448.08,4462.12,4417.83
I0003,16-08-21,3,4479.71,4480.26,4437.66
I0003,13-08-21,3,4468,4468.37,4460.82
I0003,12-08-21,3,4460.83,4461.77,4435.96
I0003,11-08-21,3,4447.7,4449.44,4436.42
I0003,10-08-21,3,4436.75,4445.21,4430.03
I0003,09-08-21,3,4432.35,4439.39,4424.74
I0003,06-08-21,3,4436.52,4440.82,4429.07
I0003,05-08-21,3,4429.1,4429.76,4408.86
I0003,04-08-21,3,4402.66,4416.17,4400.23
I0003,03-08-21,3,4423.15,4423.79,4373
I0003,02-08-21,3,4387.16,4422.18,4384.81
I0003,30-07-21,3,4395.26,4412.25,4389.65
I0003,29-07-21,3,4419.15,4429.97,4403.59
I0003,28-07-21,3,4400.64,4415.47,4387.01
I0003,27-07-21,3,4401.46,4416.38,4372.51
I0003,26-07-21,3,4422.3,4422.73,4405.45
I0003,23-07-21,3,4411.79,4415.18,4381.2
I0003,22-07-21,3,4367.48,4369.87,4350.06
I0003,21-07-21,3,4358.69,4359.7,4331.13
I0003,20-07-21,3,4323.06,4336.84,4262.05
I0003,19-07-21,3,4258.49,4296.4,4233.13
I0003,16-07-21,3,4327.16,4375.09,4322.53
I0003,15-07-21,3,4360.03,4369.02,4340.7
I0003,14-07-21,3,4374.3,4393.68,4362.36
I0003,13-07-21,3,4369.21,4392.37,4366.92
I0003,12-07-21,3,4384.63,4386.68,4364.03
I0003,09-07-21,3,4369.55,4371.6,4329.38
I0003,08-07-21,3,4320.82,4330.88,4289.37
I0003,07-07-21,3,4358.13,4361.88,4329.79
I0003,06-07-21,3,4343.54,4356.46,4314.37
I0003,02-07-21,3,4352.34,4355.43,4326.6
I0003,01-07-21,3,4319.94,4320.66,4300.73
I0003,30-06-21,3,4297.5,4302.43,4287.96
I0003,29-06-21,3,4291.8,4300.52,4287.04
I0003,28-06-21,3,4290.61,4292.14,4274.67
I0003,25-06-21,3,4280.7,4286.12,4271.16
I0003,24-06-21,3,4266.49,4271.28,4256.97
I0003,23-06-21,3,4241.84,4256.6,4241.43
I0003,22-06-21,3,4246.44,4255.84,4217.27
I0003,21-06-21,3,4224.79,4226.24,4173.4
I0003,18-06-21,3,4166.45,4204.78,4164.4
I0003,17-06-21,3,4221.86,4232.29,4196.05
I0003,16-06-21,3,4223.7,4251.89,4202.45
I0003,15-06-21,3,4246.59,4257.16,4238.35
I0003,14-06-21,3,4255.15,4255.59,4234.07
I0003,11-06-21,3,4247.44,4248.38,4232.25
I0003,10-06-21,3,4239.18,4249.74,4220.34
I0003,09-06-21,3,4219.55,4237.09,4218.74
I0003,08-06-21,3,4227.26,4236.74,4208.41
I0003,07-06-21,3,4226.52,4232.34,4215.66
I0003,04-06-21,3,4229.89,4233.45,4206.05
I0003,03-06-21,3,4192.85,4204.39,4167.93
I0003,02-06-21,3,4208.12,4217.37,4198.27
I0003,01-06-21,3,4202.04,4234.12,4197.59
I0003,28-05-21,3,4204.11,4218.36,4203.57
I0003,27-05-21,3,4200.88,4213.38,4197.78
I0003,26-05-21,3,4195.99,4202.61,4184.11
I0003,25-05-21,3,4188.13,4213.42,4182.52
I0003,24-05-21,3,4197.05,4209.52,4170.16
I0003,21-05-21,3,4155.86,4188.72,4151.72
I0003,20-05-21,3,4159.12,4172.8,4121.97
I0003,19-05-21,3,4115.68,4116.93,4061.41
